127.0.0.1 - - [23/Jan/2024:09:13:32 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Jan/2024:09:13:32 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 4405
0:0:0:0:0:0:0:1 - - [23/Jan/2024:09:13:32 +0900] "GET /BBS/js/bootstrap.bundle.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2024:09:13:32 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2024:09:13:32 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 280814
0:0:0:0:0:0:0:1 - - [23/Jan/2024:09:13:43 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2507
0:0:0:0:0:0:0:1 - - [23/Jan/2024:09:13:47 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 4405
0:0:0:0:0:0:0:1 - - [23/Jan/2024:09:19:58 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 4439
0:0:0:0:0:0:0:1 - - [23/Jan/2024:09:20:00 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 4439
0:0:0:0:0:0:0:1 - - [23/Jan/2024:09:20:33 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 4439
0:0:0:0:0:0:0:1 - - [23/Jan/2024:09:21:54 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 4405
