127.0.0.1 - - [29/Jan/2024:09:25:34 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:25:57 +0900] "GET /BBS HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:25:57 +0900] "GET /BBS/ HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:25:57 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1854
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:25:57 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:25:57 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:25:57 +0900] "GET /BBS/js/bootstrap.bundle.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:26:24 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1854
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:28:43 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1941
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:28:44 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:34:05 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 1933
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:54:11 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 1933
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:54:14 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1941
0:0:0:0:0:0:0:1 - - [29/Jan/2024:09:54:17 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2673
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:00:52 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2437
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:00:54 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2437
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:02:04 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 5456
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:02:33 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 5456
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:13:01 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2708
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:13:18 +0900] "GET /BBS/write.jsp HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:14:50 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2709
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:14:51 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2709
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:16:13 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3017
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:16:15 +0900] "GET /BBS/write.jsp HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:16:56 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3016
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:16:57 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3016
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:17:02 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3017
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:30:33 +0900] "GET /BBS/write.jsp HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:31:34 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3017
